1;0;string;string;string;string;string
2;0;string;string;string;string;string
3;0;string;string;string;string;string
4;0;string;string;string;string;string
5;0;Jonas;3;string;string;string;
6;0;string;string;string;string;string
7;0;string;string;string;string;string
8;0;string;string;string;string;string
9;0;string;string;string;string;string
10;0;string;string;string;string;string
11;5;Jonas;string;string;string;string;
12;0;string;string;string;string;string
13;0;string;string;string;string;string
